"Plant_id","Plant_sp","Cover_con","Cover_het"
"559","HHAL",0.1875,0.3125
"56","ROFF",0.1875,0.625
"560","HHAL",0,0.375
"561","CLIB",0,0.6875
"562","CLIB",0.03125,0.40625
"563","CLIB",0.03125,0.5
"564","CLIB",0.03125,0.28125
"565","CLIB",0,0.375
"566","TMAS",0,0.71875
"567","TMAS",0,0.53125
"568","TMAS",0.0625,0.46875
"569","TMAS",0.03125,0.65625
"57","ROFF",0.03125,0.5625
"570","TMAS",0,0.625
"571","TMAS",0.0625,0.8125
"572","TMAS",0.125,0.5625
"572_1","TMAS",0.03125,0.71875
"573","TMAS",0.0625,0.3125
"574","TMAS",0,0.71875
"575","TMAS",0.0625,0.84375
"576","TMAS",0,1.03125
"577","TMAS",0.0625,0.65625
"578","TMAS",0.03125,0.71875
"579","TMAS",0.0625,0.65625
"58","ROFF",0,0.40625
"580","TMAS",0,0.625
"581","TMAS",0.09375,0.5
"582","TMAS",0.03125,0.53125
"583","CLIB",0.25,0.53125
"584","TMAS",0.03125,0.78125
"585","TMAS",0.03125,0.5
"586","TMAS",0.03125,0.5625
"587","TMAS",0.03125,0.65625
"588","TMAS",0,0.53125
"589","TMAS",0,0.65625
"59","ROFF",0,0.59375
"590","TMAS",0.03125,0.53125
"591","TMAS",0,0.34375
"592","TMAS",0.03125,0.3125
"593","TMAS",0.03125,0.40625
"594","TMAS",0.03125,0.3125
"595","TMAS",0.03125,0.53125
"596","TMAS",0,0.84375
"597","TMAS",0,0.4375
"598","TMAS",0,0.625
"599","TMAS",0,0.375
"6","UPAR",0,0.5
"60","ROFF",0.09375,0.1875
"600","TMAS",0,0.53125
"601","TMAS",0.0625,0.5
"602","TMAS",0.03125,0.6875
"603","TMAS",0.09375,0.96875
"604","TMAS",0.03125,0.59375
"605","TMAS",0.0625,0.59375
"606","TMAS",0.0625,0.5625
"607","TMAS",0.03125,0.8125
"608","TMAS",0.03125,0.71875
"609","TMAS",0.03125,0.8125
"61","UPAR",0.09375,0.375
"610","TMAS",0.21875,0.71875
"611","TMAS",0.0625,0.46875
"612","TMAS",0.03125,0.46875
"613","TMAS",0.0625,0.5625
"614","TMAS",0,0.59375
"615","TMAS",0,0.4375
"616","TMAS",0,0.21875
"617","TMAS",0,0.28125
"618","TMAS",0,0.5625
"619","TMAS",0.125,0.375
"62","UPAR",0.0625,0.5
"620","TMAS",0.03125,0.5
"621","TMAS",0.03125,0.6875
"622","TMAS",0.09375,0.71875
"623","TMAS",0.03125,0.625
"624","TMAS",0,0.8125
"625","TMAS",0,0.46875
"626","HPIC",0.0625,0.875
"627","HPIC",0,0.90625
"628","HPIC",0.0625,0.5625
"629","HPIC",0,0.71875
"63","UPAR",0.1875,0.53125
"630","HPIC",0.03125,0.53125
"631","HPIC",0.03125,0.75
"632","HPIC",0,0.375
"633","HPIC",0,0.34375
"634","HPIC",0,0.8125
"635","HPIC",0.0625,0.4375
"636","HPI",0,0.625
"637","HPIC",0.09375,0.75
"638","HPIC",0.03125,0.90625
"639","HPIC",0.03125,0.875
"64","UPAR",0.03125,0.40625
"640","HPIC",0.03125,0.71875
"641","HPIC",0.03125,0.5625
"642","HPIC",0,0.96875
"643","HPIC",0,0.75
"644","HPIC",0.03125,0.75
"645","HPIC",0.03125,0.59375
"646","HPIC",0,0.84375
"647","HPIC",0.0625,0.65625
"648","HPIC",0.03125,0.875
"649","HPIC",0.03125,0.625
"65","UPAR",0.03125,0.25
"650","HPIC",0.03125,0.5
"651","HPIC",0.03125,0.5
"652","HPIC",0.03125,0.71875
"653","HPIC",0.09375,0.40625
"654","HPIC",0.03125,0.625
"655","HPIC",0.0625,0.4375
"656","HPIC",0,0.125
"657","HPIC",0.0625,1.125
"658","HPIC",0,0.78125
"659","HPIC",0.03125,0.46875
"66","UPAR",0,0.34375
"660","HPIC",0.0625,0.375
"661","HPIC",0.03125,0.46875
"662","HPIC",0.125,0.59375
"663","HPIC",0,0.34375
"664","HPIC",0,0.3125
"665","HPIC",0,0.25
"666","HPIC",0,0.46875
"667","HPIC",0,0.4375
"668","HPIC",0.0625,0.5
"669","HPIC",0.09375,0.4375
"67","UPAR",0,0.46875
"670","HPIC",0.0625,0.25
"671","HPIC",0.03125,0.25
"672","HPIC",0.0625,0.53125
"673","HPIC",0,0.46875
"674","HPIC",0,0.40625
"675","HPIC",0.0625,0.4375
"676","HPIC",0,0.375
"677","HPIC",0,0.71875
"678","HPIC",0.0625,0.5
"679","HPIC",0.03125,0.53125
"68","UPAR",0.0625,0.34375
"680","HPIC",0,1.1875
"681","HPIC",0,0.25
"682","HPIC",0,0.53125
"683","HPIC",0,0.78125
"684","HPIC",0.03125,0.53125
"685","HPIC",0.0625,0.59375
"686","HPIC",0,0.4375
"687","HPIC",0,0.34375
"688","HPIC",0,0.6875
"689","HPIC",0.03125,0.75
"69","UPAR",0.0625,0.53125
"690","HPIC",0,0.375
"691","HPIC",0,0.96875
"692","HPIC",0.03125,0.71875
"7","UPAR",0,0.59375
"70","UPAR",0.03125,0.40625
"71","UPAR",0,0.40625
"72","UPAR",0.15625,0.4375
"73","UPAR",0.09375,0.46875
"74","UPAR",0.09375,0.4375
"75","UPAR",0.0625,0.59375
"76","ROFF",0,0.875
"77","ROFF",0,0.59375
"78","ROFF",0,0.4375
