"Plant_id","Plant_sp","sync_index_het","sync_index_con"
"33","ROFF",0.22639404834228,0.843692630474692
"330","LPED",0.412235717498875,0.992307692307692
"331","LPED",0.375786163522013,0.995283018867925
"332","LPED",0.374913662108026,0.991601049868766
"333","LPED",0.345733160060645,0.987654320987654
"334","LPED",0.393504664671713,0.993311036789298
"335","LPED",0.38466097676624,0.990990990990991
"336","LPED",0.385651891088189,0.944075829383886
"337","LPED",0.397440087145969,0.976049382716049
"338","LPED",0.370588235294118,0.929230769230769
"339","LPED",0.389461524791185,0.965760322255791
"34","ROFF",0.324276858735368,0.877562218302959
"340","LPED",0.389462217635592,0.967641325536062
"341","LPED",0.391694413614502,0.972955974842767
"342","LPED",0.385924369747899,0.94952380952381
"343","LPED",0.368526897938663,0.909401709401709
"344","LPED",0.393995098039216,0.975520833333333
"345","LPED",0.377729257641921,0.955167394468704
"346","LPED",0.389498532601761,0.966738973246565
"347","LPED",0.387901314371903,0.964468864468864
"348","LPED",0.381484239265326,0.953586497890295
"349","LPED",0.389076869685927,0.969911504424779
"35","ROFF",0.312541547158058,0.891614640714898
"350","LPED",0.383986928104575,0.955218855218855
"351","SGEN",0.441685765215177,0.954545454545454
"352","SGEN",0.438327054959915,0.967528735632184
"353","SGEN",0.435836834733894,0.945052083333333
"354","SGEN",0.442393779941883,0.969158878504673
"355","SGEN",0.430972388955582,0.914285714285714
"356","SGEN",0.442387124341262,0.996610169491525
"357","SGEN",0.437248583643984,0.941353383458647
"358","SGEN",0.444129002952532,0.975
"359","SGEN",0.447950608814955,0.988265306122449
"36","ROFF",0.389258284739013,0.95440074906367
"360","SGEN",0.443568196509373,0.982307692307692
"361","CSAL",0.478273809523809,0.472222222222222
"362","CSAL",0.49921875,0.46875
"363","CSAL",0.513888888888889,0.537037037037037
"364","CSAL",0.485833333333333,0.494444444444444
"365","CSAL",0.45,0.444444444444444
"365_1","0",0,0
"365_2","CSAL",0.525,0.555555555555556
"365_3","0",0,0
"365_4","0",0,0
"366","CLIB",0.250772108399669,0.972433192686357
"367","CLIB",0.248895434462445,0.965873015873016
"368","CLIB",0.2447186074024,0.986885245901639
"369","CLIB",0.235900545785324,0.984873949579832
"37","ROFF",0.327214430075828,0.914405762304922
"370","CLIB",0.241481740345972,0.994350282485876
"371","CLIB",0.251094075836344,0.980626780626781
"372","CLIB",0.243049047172759,0.983838383838384
"373","CLIB",0.25649932765576,0.92463768115942
"374","CLIB",0.241602926504822,0.994623655913978
"375","CLIB",0.264447717231222,0.879619047619048
"376","CLIB",0.248974076669002,0.906796116504854
"377","CLIB",0.242090295058656,0.986206896551724
"378","CLIB",0.249631811487482,1
"379","CLIB",0.245360824742268,0.99
"38","ROFF",0.305387051906916,0.89664512157587
"380","CLIB",0.237113402061856,1
"381","CLIB",0.308822602005423,0.963057324840764
"382","CLIB",0.237172138266458,0.87906432748538
"383","CLIB",0.301803394625177,0.946428571428572
"384","CLIB",0.221814116895561,0.839784946236559
"385","CLIB",0.321511255603172,0.962852404643449
"386","CLIB",0.249735537779468,0.893797519007603
"387","CLIB",0.334848238922253,0.974863387978142
"388","CLIB",0.279207920792079,0.96
"389","CLIB",0.292593545068793,0.958874458874459
"39","ROFF",0.344462702468445,0.931145981930575
"390","CLIB",0.260210396039604,0.91875
"391","CLIB",0.255981848184819,0.924074074074074
"392","CLIB",0.358910891089109,0.9625
"393","CLIB",0.266709528095667,0.952380952380952
"394","CLIB",0.346534653465347,0.980952380952381
"395","CLIB",0.252108544187752,0.930864197530864
"396","CLIB",0.316239316239316,0.885714285714286
"397","CLIB",0.304029304029304,0.919047619047619
"398","CLIB",0.30316742081448,0.945098039215686
"399","CLIB",0.308807134894091,0.882125603864734
"4","UPAR",0.116151202749141,0.937777777777778
"40","ROFF",0.290110116291036,0.882384823848238
"400","CLIB",0.28413591828226,0.879674796747967
"401","CLIB",0.285470085470085,0.8
"402","CLIB",0.301139601139601,0.917777777777778
"403","CLIB",0.302075702075702,0.927619047619048
"404","CLIB",0.299992936356573,0.908539944903581
"405","CLIB",0.294586894586895,0.908148148148148
"406","CLIB",0.296840487851724,0.923595505617978
"407","CLIB",0.315687896333058,0.875268817204301
"408","CLIB",0.281548516842634,0.796078431372549
"409","CLIB",0.299145299145299,0.895890410958904
